fireplaces,garage_spaces,category_code,market_value,bathrooms,bedrooms,stories,sale_date,sale_price,total_area,total_livable_area,latitude,longitude
0.0,0.0,1.0,62200.0,1.0,3.0,2.0,2005-03-29,45000.0,944.0,1152.0,40.01997649461661,-75.1229267010667
0.0,0.0,1.0,57900.0,1.0,3.0,2.0,2017-07-10,85000.0,1750.0,1312.0,40.0199434230669,-75.122451650107
0.0,0.0,1.0,57900.0,1.0,3.0,2.0,2019-06-27,65000.0,1750.0,1312.0,40.020000087160895,-75.1224387488144
0.0,0.0,1.0,61000.0,1.0,3.0,2.0,2011-12-22,47000.0,807.11,1126.0,40.0201515848301,-75.12285723023709
0.0,0.0,1.0,61000.0,1.0,3.0,2.0,2017-02-06,66500.0,809.69,1126.0,40.0202023369751,-75.122846046405
0.0,0.0,1.0,60700.0,1.0,3.0,2.0,2015-10-26,33500.0,1750.0,1440.0,40.020273326407796,-75.1223782359515
0.0,0.0,1.0,68200.0,1.0,3.0,2.0,2014-09-16,24000.0,1200.0,1410.0,40.020881757757294,-75.1227674333378
0.0,0.0,1.0,63300.0,1.0,3.0,2.0,2006-09-26,35000.0,1152.75,1364.0,40.0222450170481,-75.1219635534908
0.0,0.0,1.0,111200.0,1.0,4.0,2.0,2018-03-21,150000.0,2200.0,2048.0,40.0226774248251,-75.1218153494733
0.0,2.0,1.0,56500.0,3.0,3.0,2.0,2019-03-20,68500.0,1761.3,1350.0,40.0236725346905,-75.1216257780664
0.0,1.0,1.0,106200.0,1.0,3.0,2.0,2008-10-07,107500.0,1388.05,1104.0,40.0398429149036,-75.11848856922809
0.0,1.0,1.0,63300.0,1.0,3.0,2.0,2013-10-02,68000.0,1388.05,1104.0,40.0400626478304,-75.1189363003268
0.0,1.0,1.0,106200.0,1.0,3.0,2.0,2006-10-04,112000.0,1373.6,1104.0,40.0402421734866,-75.1184027134202
0.0,1.0,1.0,110800.0,1.0,3.0,2.0,2010-08-06,76000.0,1943.62,1224.0,40.0421282839974,-75.11826905491921
0.0,1.0,1.0,117500.0,1.0,3.0,2.0,2019-05-09,105000.0,1934.04,1224.0,40.0422266366065,-75.11824707551371
0.0,1.0,1.0,110800.0,1.0,3.0,2.0,2008-07-02,110000.0,1943.62,1224.0,40.042421917407,-75.1182058352421
0.0,0.0,1.0,41300.0,1.0,3.0,2.0,2016-08-30,25000.0,1029.14,784.0,40.0264603242709,-75.1597296978744
0.0,0.0,1.0,26100.0,1.0,3.0,2.0,2017-07-11,21000.0,1029.14,784.0,40.0264530799413,-75.159679478027
0.0,0.0,1.0,55000.0,1.0,3.0,2.0,2008-11-12,40000.0,1029.14,1100.0,40.02644091988071,-75.15957929757658
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2017-09-26,28000.0,1102.5,1502.0,40.0007528157509,-75.12704106268241
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2014-12-11,35000.0,1102.5,1502.0,40.0008329622165,-75.1270252583117
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2019-04-23,40000.0,1102.5,1502.0,40.00092205056311,-75.1270060670183
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2010-08-16,25000.0,1102.5,1502.0,40.001089465301796,-75.126969849228
0.0,0.0,1.0,74700.0,1.0,3.0,2.0,2019-07-31,75000.0,1158.56,1464.0,39.981569521008296,-75.2271361013194
0.0,0.0,1.0,140500.0,1.0,2.0,2.0,2017-06-20,150000.0,454.39,592.0,39.9808849573583,-75.1310735454477
1.0,1.0,1.0,263900.0,2.0,3.0,2.0,2008-06-27,340000.0,1835.0,1168.0,40.0725406168172,-75.2008663963485
1.0,0.0,1.0,336600.0,1.0,3.0,2.0,2016-04-24,305000.0,1440.0,1368.0,40.0728019204002,-75.20060432844551
0.0,1.0,1.0,256300.0,1.0,3.0,2.0,2017-12-12,320000.0,1440.0,1168.0,40.0729080331461,-75.2004984913959
0.0,1.0,1.0,256300.0,1.0,2.0,2.0,2005-01-20,250000.0,1440.0,1168.0,40.0729776823883,-75.20042717869501
0.0,1.0,1.0,128700.0,1.0,3.0,2.0,2010-11-08,62100.0,1818.91,1318.0,40.0200377649034,-75.170409867024
1.0,0.0,1.0,122600.0,1.0,4.0,2.0,2008-06-30,152500.0,1659.37,1600.0,40.0194357391961,-75.1709994040677
1.0,1.0,1.0,129200.0,2.0,3.0,2.0,2016-05-05,137000.0,2240.0,1534.0,40.018886477906605,-75.1716801646548
1.0,1.0,1.0,130300.0,1.0,3.0,2.0,2010-06-09,50000.0,2240.0,1334.0,40.0185775127828,-75.17200513437191
1.0,1.0,1.0,130300.0,1.0,3.0,2.0,2000-02-22,36750.0,2240.0,1334.0,40.0182514594277,-75.172346494071
0.0,1.0,1.0,165700.0,1.0,4.0,2.0,2015-06-24,190000.0,5000.0,1104.0,40.0499422469359,-75.0073400827266
0.0,1.0,1.0,143700.0,1.0,3.0,2.0,1993-09-10,50000.0,1870.24,1152.0,40.0494596797379,-75.00602463844409
0.0,1.0,1.0,143700.0,1.0,3.0,2.0,2014-04-22,95000.0,1868.64,1152.0,40.0493934354258,-75.0059476831795
0.0,1.0,1.0,143700.0,1.0,3.0,2.0,2007-01-31,134900.0,1853.99,1152.0,40.0492264645792,-75.0057570249666
0.0,1.0,1.0,142900.0,1.0,3.0,2.0,2015-05-27,25000.0,1608.0,1120.0,40.048910521086505,-75.0061579008011
0.0,1.0,1.0,141200.0,1.0,3.0,2.0,1993-05-14,40000.0,1608.0,1120.0,40.0486054967516,-75.0058105009229
0.0,0.0,1.0,50900.0,1.0,3.0,2.0,2003-09-02,28000.0,880.0,1216.0,39.9805647979741,-75.227347034611
0.0,0.0,1.0,63500.0,1.0,3.0,2.0,2004-11-09,32000.0,880.0,1138.0,39.9806038315454,-75.2273230415765
0.0,0.0,1.0,59000.0,1.0,3.0,2.0,2009-02-21,68000.0,880.0,1048.0,39.9809976532785,-75.22745636541259
0.0,0.0,1.0,33800.0,1.0,3.0,2.0,2016-09-22,27500.0,880.0,1138.0,39.980963634115604,-75.2270990584743
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2015-12-03,235000.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,350500.0,1.0,1.0,0.0,2012-06-14,260000.0,0.0,921.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,390000.0,1.0,1.0,0.0,2017-01-13,590000.0,0.0,1104.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2013-06-12,224000.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2006-10-24,279975.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2012-08-03,219000.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,1.0,1.0,204700.0,1.0,3.0,2.0,2016-07-06,125000.0,2646.0,1400.0,40.091588113229896,-74.983786148303
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2018-10-26,245000.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,344000.0,1.0,1.0,0.0,2007-08-27,379975.0,0.0,840.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2006-10-27,298975.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,350000.0,1.0,1.0,0.0,2019-07-18,375000.0,0.0,917.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,350000.0,1.0,1.0,0.0,2016-04-22,355000.0,0.0,917.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,316000.0,1.0,1.0,0.0,2016-10-03,335000.0,0.0,745.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,370000.0,1.0,1.0,0.0,2010-05-13,355312.0,0.0,970.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,198700.0,1.0,3.0,0.0,2012-07-16,142000.0,560.0,870.0,40.071157652988894,-75.2027506475568
0.0,0.0,1.0,187300.0,1.0,3.0,2.0,2015-06-25,102000.0,1800.0,1098.0,40.095393341062795,-74.9699119715257
0.0,1.0,1.0,186900.0,1.0,3.0,2.0,2016-02-18,127995.0,1800.0,1098.0,40.0951064176969,-74.9695725412112
0.0,1.0,1.0,186900.0,1.0,3.0,2.0,2017-01-20,87815.0,1800.0,1098.0,40.095055383525796,-74.9695156099537
0.0,1.0,1.0,186900.0,1.0,3.0,2.0,2016-01-22,107500.0,1800.0,1098.0,40.094909001597706,-74.9693433501855
0.0,0.0,1.0,187300.0,1.0,3.0,2.0,2010-09-22,122000.0,1800.0,1098.0,40.0942069665188,-74.9685352691685
0.0,1.0,1.0,186900.0,1.0,3.0,2.0,2008-05-23,120000.0,1800.0,1098.0,40.0940550945889,-74.9683535887673
0.0,1.0,1.0,195400.0,1.0,3.0,2.0,2016-10-25,117000.0,1800.0,1368.0,40.09431758974,-74.9677504067167
0.0,0.0,1.0,187300.0,1.0,3.0,2.0,2008-05-01,161000.0,1800.0,1098.0,40.09394628648921,-74.9682255682693
0.0,1.0,1.0,186900.0,1.0,3.0,2.0,2016-12-05,80000.0,1800.0,1098.0,40.0938370094227,-74.9680968669829
0.0,0.0,1.0,195400.0,1.0,3.0,2.0,2018-03-02,120000.0,1800.0,1368.0,40.0934411447167,-74.966620817761
0.0,1.0,1.0,193300.0,1.0,3.0,2.0,2011-06-24,149000.0,1800.0,1260.0,40.0930274154595,-74.96725162946208
0.0,0.0,1.0,191200.0,1.0,3.0,2.0,2009-05-27,193000.0,1800.0,1368.0,40.092734256251,-74.9669742360364
0.0,0.0,1.0,185900.0,1.0,3.0,2.0,2017-09-26,130000.0,1800.0,1224.0,40.09169307650871,-74.96616942585742
0.0,1.0,1.0,190400.0,1.0,3.0,2.0,2017-09-05,156000.0,2228.0,1440.0,40.092611378829496,-74.9808481279817
0.0,1.0,1.0,116500.0,1.0,3.0,2.0,2012-03-29,110000.0,2760.0,1332.0,40.0349180453319,-75.107846346478
0.0,1.0,1.0,103100.0,1.0,3.0,2.0,2010-08-19,95000.0,1468.69,1196.0,40.0348291007181,-75.1077699592663
0.0,1.0,1.0,105700.0,1.0,3.0,2.0,2018-03-15,100000.0,1851.61,1196.0,40.0349536589745,-75.1086745702588
0.0,1.0,1.0,103100.0,1.0,3.0,2.0,2019-05-10,105000.0,1468.69,1196.0,40.0347113483795,-75.1076824528409
0.0,1.0,1.0,108600.0,1.0,3.0,2.0,2007-10-27,90000.0,1834.16,1196.0,40.0348014693673,-75.108559259775
0.0,1.0,1.0,108600.0,1.0,3.0,2.0,2017-03-09,110000.0,1830.12,1196.0,40.0347638210693,-75.108533143776
0.0,1.0,1.0,108600.0,1.0,3.0,2.0,2013-07-16,110000.0,1832.18,1196.0,40.0346910161281,-75.10847853616299
0.0,1.0,1.0,103100.0,1.0,3.0,2.0,2007-08-30,138000.0,1465.06,1196.0,40.0345568061464,-75.10756350552171
0.0,1.0,1.0,104400.0,1.0,3.0,2.0,2015-10-29,70000.0,1643.31,1196.0,40.0342923482344,-75.1073383685938
0.0,0.0,1.0,106300.0,1.0,3.0,2.0,2018-02-02,110000.0,1813.26,1196.0,40.0341847902359,-75.10723827251759
0.0,1.0,1.0,106600.0,1.0,3.0,2.0,2012-05-10,27821.0,2029.53,1196.0,40.034038840128105,-75.1071063037844
0.0,1.0,1.0,108100.0,1.0,3.0,2.0,2018-11-19,114000.0,1740.66,1196.0,40.034066800984995,-75.1080178169887
0.0,1.0,1.0,109900.0,1.0,3.0,2.0,2017-05-29,110000.0,2079.48,1196.0,40.0340021327615,-75.10707265738979
0.0,1.0,1.0,105000.0,1.0,3.0,2.0,2005-08-22,145000.0,1743.82,1196.0,40.0340281223718,-75.107988280269
0.0,1.0,1.0,108100.0,1.0,3.0,2.0,2010-02-08,82000.0,1739.78,1196.0,40.0339877919373,-75.1079581854701
0.0,1.0,1.0,108000.0,1.0,3.0,0.0,2006-03-16,135000.0,1735.74,1196.0,40.0339494177354,-75.1079291527197
0.0,1.0,1.0,113000.0,1.0,3.0,2.0,2003-06-26,76000.0,2713.0,1332.0,40.0337410893374,-75.10700004899
0.0,1.0,1.0,104700.0,1.0,3.0,2.0,2007-03-07,140000.0,1697.72,1196.0,40.0336848756589,-75.10773357808449
1.0,1.0,1.0,107700.0,1.0,3.0,2.0,2019-02-15,126000.0,1692.76,1196.0,40.0335706927918,-75.1076489548702
